timestamp,open,high,low,close,volume
1643817600000,2662.82,2673.00,2636.43,2667.71,201128.639
1643821200000,2667.70,2693.25,2660.36,2684.01,118707.298
1643824800000,2684.01,2687.00,2670.32,2684.56,49222.433
1643828400000,2684.56,2717.54,2682.64,2705.05,90445.655
1643832000000,2705.04,2732.60,2690.29,2725.27,107617.982
1643835600000,2725.28,2730.00,2610.40,2651.65,221558.878
1643839200000,2651.58,2695.70,2640.10,2676.54,120826.702
1643842800000,2676.55,2705.00,2667.87,2678.00,78861.656
1643846400000,2678.47,2722.99,2662.41,2691.77,125112.390
1643850000000,2691.78,2705.00,2668.25,2680.72,52755.425
1643853600000,2680.72,2691.62,2668.18,2686.39,52540.623
1643857200000,2686.39,2687.15,2651.00,2656.98,57916.393
1643860800000,2656.86,2671.64,2649.10,2660.49,55400.144
1643864400000,2660.90,2666.04,2645.18,2654.50,62773.737
1643868000000,2654.51,2657.48,2636.00,2650.13,50287.640
1643871600000,2650.13,2675.53,2648.88,2669.10,64036.137
1643875200000,2669.27,2684.23,2660.47,2671.26,64579.291
1643878800000,2671.26,2672.98,2615.00,2617.57,112329.566
1643882400000,2617.57,2620.78,2577.00,2594.13,182894.083
1643886000000,2594.12,2623.97,2588.01,2619.76,107999.848
1643889600000,2619.76,2620.63,2572.64,2612.95,142703.344
1643893200000,2613.00,2627.09,2593.17,2605.73,95534.321
1643896800000,2605.72,2625.98,2594.00,2607.28,136481.877
1643900400000,2607.28,2647.00,2603.41,2638.33,155770.258
1643904000000,2638.39,2659.66,2612.28,2612.70,105717.066
1643907600000,2612.30,2627.82,2600.17,2626.00,68970.441
1643911200000,2626.00,2634.52,2607.10,2621.40,43357.261
1643914800000,2621.41,2628.62,2588.73,2596.68,65988.641
1643918400000,2596.67,2609.66,2575.00,2582.43,81931.281
1643922000000,2582.43,2673.99,2581.42,2658.89,161154.276
1643925600000,2658.88,2671.99,2641.99,2659.50,59718.520
1643929200000,2659.50,2700.00,2652.01,2694.37,65790.078
1643932800000,2694.20,2695.00,2676.30,2686.49,57320.316
1643936400000,2686.49,2686.72,2670.14,2677.28,35150.787
1643940000000,2677.28,2696.54,2673.48,2685.80,52632.535
1643943600000,2685.80,2694.50,2680.00,2682.28,49003.168
1643947200000,2682.29,2689.45,2674.44,2682.40,37677.470
1643950800000,2682.52,2785.64,2681.09,2768.84,217472.419
1643954400000,2768.84,2807.99,2768.71,2795.57,124966.290
1643958000000,2795.57,2806.94,2783.82,2803.77,120283.844
1643961600000,2803.78,2860.58,2802.93,2834.37,218501.719
1643965200000,2834.37,2856.28,2822.56,2846.19,89052.020
1643968800000,2846.19,2872.89,2824.00,2832.95,135313.950
1643972400000,2832.95,2843.90,2824.00,2828.53,67928.351
1643976000000,2828.62,2848.93,2828.62,2839.35,48780.649
1643979600000,2839.35,2856.61,2768.51,2774.13,242049.954
1643983200000,2774.13,2834.99,2762.83,2826.13,254464.223
1643986800000,2826.14,2930.00,2822.53,2870.99,416719.021
1643990400000,2870.99,2965.00,2867.00,2929.47,270065.947
1643994000000,2929.48,2961.28,2924.07,2953.75,101378.914
1643997600000,2953.92,2969.32,2940.23,2945.77,72727.054
1644001200000,2945.76,2963.90,2928.39,2957.58,69753.190
1644004800000,2957.36,2977.00,2945.12,2953.97,81498.248
1644008400000,2953.98,2961.04,2941.50,2953.38,32807.141
1644012000000,2953.38,2961.99,2929.79,2955.03,65098.492
1644015600000,2955.03,2995.00,2945.01,2993.65,93238.196
1644019200000,2993.64,3019.80,2969.48,2980.80,143021.808
1644022800000,2980.81,2985.90,2958.01,2969.88,50294.460
1644026400000,2969.72,3008.48,2967.20,2992.43,51717.147
1644030000000,2992.43,3004.18,2978.11,2996.56,42040.603
1644033600000,2996.57,3036.92,2988.08,3011.86,97060.584
1644037200000,3011.87,3032.36,3008.67,3022.92,50948.148
1644040800000,3022.92,3035.47,3005.01,3007.89,55456.964
1644044400000,3007.88,3010.12,2995.82,3000.98,44298.969
1644048000000,3000.98,3018.15,2986.82,3007.08,44989.203
1644051600000,3007.08,3033.70,3000.02,3027.01,62968.297
1644055200000,3027.21,3034.13,3005.85,3024.42,47605.322
1644058800000,3024.49,3029.97,3001.25,3010.55,43740.361
1644062400000,3010.55,3023.01,2995.97,3004.59,54063.556
1644066000000,3004.59,3028.00,3002.03,3021.19,46646.235
1644069600000,3021.19,3058.00,3004.38,3019.32,98272.378
1644073200000,3019.32,3059.91,3003.00,3048.92,147930.673
1644076800000,3048.81,3053.72,2995.68,3001.29,96179.186
1644080400000,3001.30,3022.00,2961.72,3015.84,178291.652
1644084000000,3015.83,3024.99,3005.86,3016.33,46623.583
